repo,module,language,snapshot_date,class_fqn,loc,cyclomatic_complexity,wmc,dit,noc,cbo,rfc,lcom,fan_in,fan_out,code_smells,num_commits_30d,added_loc_30d,deleted_loc_30d,num_authors_30d,days_since_last_change,bugfix_commits_90d,issues_90d,line_coverage_pct,branch_coverage_pct,mutation_score_pct,tests_failed_30d,flaky_rate,defect_next_30d,defect_count_next_30d,defect_probability_latent
repo_gamma,core,Java,2025-06-09,com.ocp.quality.core.Class0184,78,1.4,3.32,2,1,1.7,6.68,1.06,1,1,4,6,13,10,1,122,1,2,69.4,47.94,67.2,1,0.0111,0,0,0.01749
repo_alpha,core,Java,2025-12-10,com.ocp.transport.core.Class0075,119,3.39,3.65,6,2,0.0,5.34,1.17,0,0,1,0,0,4,0,150,0,0,55.85,39.51,43.8,0,0.0323,0,0,0.00812
repo_beta,data,Java,2025-07-02,com.ocp.platform.data.Class0099,159,2.1,1.0,1,0,1.57,1.0,0.0,1,1,3,2,2,2,0,125,0,0,75.64,75.54,52.2,0,0.0347,0,0,0.00411
repo_gamma,utils,Java,2025-10-14,com.ocp.utils.Class0127,303,4.0,8.35,6,2,0.0,21.52,3.97,0,1,0,8,18,15,0,145,1,1,92.26,83.68,81.29,1,,0,0,0.00571
repo_gamma,service,Java,2024-11-04,com.ocp.quality.service.Class0163,225,6.02,7.37,4,0,0.0,13.94,0.0,0,2,2,5,22,22,2,51,1,0,75.75,63.51,44.44,0,0.0792,0,0,0.01215
repo_alpha,api,Java,2025-01-18,com.ocp.api.Class0044,356,2.39,1.0,3,2,1.22,11.83,2.78,2,3,0,2,9,6,0,8,0,2,65.03,51.26,60.32,0,0.1534,0,0,0.00517
repo_alpha,core,Java,2025-04-07,com.ocp.platform.core.Class0098,578,8.89,5.07,2,0,2.75,7.63,6.45,2,1,2,14,63,51,2,88,4,3,64.78,,41.31,0,0.0733,0,0,0.10039
repo_beta,utils,Java,2024-12-07,com.ocp.utils.Class0213,556,5.65,9.22,1,0,0.0,9.44,3.89,0,1,1,4,7,15,0,150,1,0,65.47,53.4,42.79,0,,0,0,0.00877
repo_gamma,data,Java,2024-03-03,com.ocp.platform.data.Class0054,420,5.67,3.97,5,1,0.0,1.0,0.16,1,0,1,11,52,42,2,77,0,0,72.25,49.12,48.22,1,0.0307,0,0,0.02122
repo_alpha,utils,Java,2024-01-15,com.ocp.quality.utils.Class0011,201,4.9,4.16,5,1,3.82,16.7,0.29,1,0,0,13,25,26,3,0,2,3,70.67,43.26,33.99,1,0.0129,0,0,0.01645
repo_alpha,service,Java,2025-09-06,com.ocp.quality.service.Class0187,764,9.93,18.97,3,1,0.78,18.65,6.64,1,2,0,1,24,22,0,79,0,0,61.43,49.05,,2,0.1035,0,0,0.03057
repo_alpha,core,Java,2025-01-10,com.ocp.core.Class0031,167,3.72,1.0,3,0,0.0,10.29,0.0,1,1,1,4,9,10,0,0,0,1,,85.01,69.53,0,0.165,0,0,0.01046
repo_gamma,core,Java,2024-07-21,com.ocp.platform.core.Class0197,304,7.67,10.77,5,1,0.0,1.0,0.0,2,0,0,2,14,19,0,137,1,2,62.46,55.48,76.34,1,0.1232,0,0,0.01746
repo_beta,api,Java,2025-09-20,com.ocp.api.Class0112,93,3.48,2.76,5,3,0.15,1.0,1.78,1,1,1,9,19,8,2,46,2,3,64.77,44.0,43.29,1,0.0021,0,0,0.01265
repo_alpha,utils,Kotlin,2025-11-14,com.ocp.transport.utils.Class0093,474,3.68,1.0,6,1,0.0,1.0,0.0,0,0,2,1,5,5,0,54,0,1,,68.44,80.72,1,0.0041,0,0,0.01424
repo_beta,service,Java,2025-02-13,com.ocp.platform.service.Class0097,67,5.77,8.94,5,1,0.76,10.59,1.47,0,0,0,9,5,4,0,43,3,1,94.92,95.28,81.48,1,0.0304,0,0,0.00382
repo_alpha,data,Java,2024-12-28,com.ocp.data.Class0205,88,3.31,12.88,6,2,4.82,19.79,0.91,1,4,0,2,3,5,0,46,0,0,75.9,65.33,58.29,1,0.0429,0,0,0.0066
repo_alpha,utils,Java,2025-12-14,com.ocp.platform.utils.Class0097,182,3.34,5.52,6,2,4.25,13.06,0.86,1,1,0,12,17,19,3,89,2,4,,68.04,44.07,0,0.1164,0,0,0.00561
repo_alpha,utils,Java,2024-09-27,com.ocp.quality.utils.Class0096,474,7.77,10.74,3,0,2.5,20.99,3.48,3,2,4,14,55,56,1,103,0,0,69.72,60.18,44.27,1,0.0165,0,0,0.01823
repo_gamma,data,Java,2025-12-04,com.ocp.platform.data.Class0048,141,5.93,3.85,1,0,0.0,1.0,3.91,1,0,2,1,17,7,1,113,0,0,82.38,72.68,63.36,2,0.0291,0,0,0.004
repo_gamma,utils,Java,2025-09-02,com.ocp.platform.utils.Class0059,246,2.26,1.57,1,0,0.0,1.0,0.27,0,0,2,7,18,12,0,77,0,1,56.75,47.75,38.57,1,0.0758,0,0,0.02824
repo_gamma,api,Java,2025-03-27,com.ocp.quality.api.Class0043,274,6.59,1.0,2,0,1.84,7.46,4.97,0,0,2,2,7,8,1,172,0,0,73.75,69.64,63.13,3,0.0751,0,0,0.01764
repo_beta,utils,Java,2025-09-19,com.ocp.platform.utils.Class0058,115,2.16,1.0,4,1,3.84,3.53,0.0,1,2,0,9,9,12,1,67,3,4,62.21,,43.76,2,0.0665,0,0,0.04388
repo_alpha,integration,Java,2024-09-07,com.ocp.integration.Class0006,223,3.67,6.18,2,0,0.48,14.47,2.75,0,0,0,3,14,13,1,5,1,1,,,59.01,3,0.1962,0,0,0.01629
repo_beta,service,Java,2025-01-14,com.ocp.transport.service.Class0035,127,4.87,5.69,5,2,0.8,8.35,0.0,1,0,1,5,10,10,2,69,0,0,86.84,70.92,87.42,0,0.0336,0,1,0.00704
repo_beta,utils,Java,2025-04-14,com.ocp.utils.Class0213,580,4.41,1.0,6,1,0.0,1.0,2.42,2,3,2,5,12,12,2,63,0,1,58.52,47.73,50.11,3,0.1133,0,0,0.01132
repo_alpha,api,Java,2024-04-11,com.ocp.quality.api.Class0179,238,4.83,5.87,2,0,2.79,10.08,3.15,0,1,3,3,17,12,0,82,0,0,,,57.47,0,0.0321,0,0,0.00802
repo_beta,core,Java,2025-09-17,com.ocp.platform.core.Class0137,94,3.58,6.34,1,2,0.0,1.0,0.0,2,0,1,7,8,11,1,56,1,0,55.58,48.79,50.18,1,0.1414,0,0,0.0234
repo_beta,service,Java,2025-05-20,com.ocp.platform.service.Class0211,120,2.64,1.0,2,0,0.02,1.0,3.14,1,1,2,7,6,6,2,10,1,0,54.36,47.77,33.01,2,0.088,0,1,0.0169
repo_beta,data,Java,2024-12-29,com.ocp.platform.data.Class0189,111,8.05,4.42,1,0,0.5,1.0,0.84,1,0,0,2,2,1,0,146,0,0,56.2,47.48,70.32,1,0.0106,0,0,0.04544
repo_gamma,core,Java,2025-11-07,com.ocp.transport.core.Class0200,429,9.07,7.43,2,0,0.0,6.81,3.22,0,0,1,4,14,6,2,43,1,0,86.51,70.99,82.76,0,0.0079,0,0,0.00666
repo_beta,utils,Java,2025-07-26,com.ocp.transport.utils.Class0172,97,2.29,1.1,5,1,1.27,8.94,0.0,1,2,1,1,1,2,0,135,0,0,73.85,65.04,,1,0.0281,0,0,0.03721
repo_gamma,api,Java,2024-02-09,com.ocp.transport.api.Class0156,42,2.56,5.92,1,0,0.0,12.92,0.71,1,0,0,5,1,3,0,158,0,1,73.96,,57.1,0,0.0213,0,0,0.00355
repo_alpha,service,Java,2025-03-15,com.ocp.quality.service.Class0187,743,9.74,6.66,1,1,0.0,4.32,2.87,0,1,4,0,14,23,0,38,0,0,,73.33,62.07,2,0.136,0,0,0.01952
repo_beta,api,Java,2025-09-14,com.ocp.quality.api.Class0207,204,2.43,1.0,4,0,0.0,1.0,4.73,2,1,1,5,14,10,1,66,0,0,82.72,88.33,68.14,1,0.0714,0,0,0.00118
repo_alpha,core,Java,2025-07-14,com.ocp.quality.core.Class0037,205,3.12,1.0,1,1,2.52,1.0,1.38,0,1,0,0,4,2,0,167,0,0,73.46,62.82,49.21,1,0.0684,0,0,0.01286
repo_alpha,utils,Java,2025-08-11,com.ocp.utils.Class0078,91,6.35,3.64,4,0,0.0,12.69,0.0,0,0,0,2,9,7,0,150,0,0,,73.28,73.82,0,0.137,0,0,0.02249
repo_alpha,api,Java,2024-06-07,com.ocp.transport.api.Class0063,308,4.71,1.0,2,0,2.37,4.21,1.59,0,1,1,6,20,25,1,51,0,2,64.49,57.5,,3,0.2446,0,0,0.02059
repo_beta,utils,Java,2025-02-14,com.ocp.quality.utils.Class0070,111,1.0,4.51,1,0,0.0,12.93,0.26,1,0,0,9,21,7,0,84,2,5,93.21,,,1,0.0222,0,0,0.00384
repo_gamma,service,Java,2024-08-06,com.ocp.platform.service.Class0093,68,1.94,3.46,5,2,0.0,21.96,0.65,3,0,0,0,2,0,1,139,0,0,70.59,56.67,,0,0.2277,0,0,0.0095
repo_gamma,integration,Java,2025-05-19,com.ocp.platform.integration.Class0114,250,4.58,8.74,4,1,2.6,9.51,4.35,4,0,0,3,12,7,0,150,1,1,46.03,,52.7,3,,0,0,0.01175
repo_alpha,core,Java,2024-10-16,com.ocp.quality.core.Class0014,123,1.71,5.4,4,0,5.75,25.63,0.94,2,2,1,2,4,2,0,106,0,0,,60.0,39.48,1,0.0741,0,0,0.00936
repo_alpha,service,Java,2025-09-29,com.ocp.transport.service.Class0020,146,4.82,3.17,3,0,1.32,6.96,2.93,0,1,3,2,2,3,1,17,0,0,65.25,59.62,44.78,1,0.0439,0,1,0.01654
repo_gamma,data,Kotlin,2024-03-21,com.ocp.platform.data.Class0106,164,2.47,3.37,1,0,2.36,10.72,1.95,0,1,1,7,10,14,0,69,1,2,59.81,54.53,45.79,2,0.0837,0,0,0.01147
repo_gamma,core,Java,2025-03-13,com.ocp.quality.core.Class0140,89,3.65,11.02,4,0,4.35,14.17,1.95,1,1,0,3,4,3,1,152,0,1,55.99,51.63,33.66,3,0.1418,0,0,0.00861
repo_alpha,service,Java,2024-11-14,com.ocp.platform.service.Class0057,160,4.8,4.08,1,1,2.26,1.0,0.56,0,0,0,1,7,3,1,86,0,1,87.96,81.27,76.02,1,0.0728,0,0,0.0063
repo_alpha,service,Java,2024-05-21,com.ocp.quality.service.Class0032,320,6.54,2.97,6,4,3.45,19.71,1.92,2,1,0,2,27,15,0,20,1,0,59.03,40.31,,3,0.3526,0,0,0.01992
repo_alpha,core,Java,2024-10-08,com.ocp.core.Class0130,113,4.36,1.4,1,1,0.0,14.62,1.36,1,0,0,2,7,1,1,50,0,0,70.57,,43.65,0,0.0314,0,0,0.00503
repo_gamma,core,Java,2025-06-26,com.ocp.platform.core.Class0133,104,2.62,1.0,6,2,0.0,1.12,2.03,2,2,1,1,3,3,0,16,0,3,55.67,51.37,22.12,1,0.0946,0,0,0.01776
repo_alpha,utils,Java,2025-02-25,com.ocp.utils.Class0028,119,4.88,2.77,1,0,1.74,8.81,0.98,1,3,3,1,7,2,0,136,0,0,79.63,58.69,46.2,0,0.024,0,0,0.00542
repo_alpha,service,Java,2025-07-26,com.ocp.service.Class0099,230,8.63,5.73,1,0,0.01,19.48,2.01,1,4,0,1,1,6,1,122,0,0,65.34,37.87,49.18,3,0.0286,0,0,0.01174
repo_gamma,api,Java,2025-10-05,com.ocp.platform.api.Class0206,52,6.15,5.46,3,1,0.0,3.93,0.17,0,1,1,3,6,3,1,78,0,0,84.73,81.56,66.82,2,0.0376,0,0,0.0152
repo_alpha,data,Java,2024-12-23,com.ocp.quality.data.Class0210,187,1.0,1.0,4,2,4.94,1.0,0.33,0,1,1,7,15,5,0,114,0,0,83.62,76.93,100.0,1,0.0293,0,0,0.00374
repo_gamma,integration,Java,2024-08-29,com.ocp.quality.integration.Class0213,170,3.83,1.85,3,1,3.09,1.0,1.23,1,1,1,7,15,12,2,46,0,0,71.29,69.35,45.83,1,0.0141,0,0,0.00897
repo_beta,core,Java,2025-03-10,com.ocp.platform.core.Class0178,247,7.99,5.54,4,1,3.53,28.96,0.0,1,1,1,5,20,19,0,148,0,0,84.68,80.14,,0,0.1466,0,0,0.01826
repo_beta,data,Java,2025-10-28,com.ocp.platform.data.Class0189,115,4.15,1.84,1,0,3.08,1.0,0.0,1,0,0,1,2,3,0,71,0,0,64.74,52.96,56.51,0,0.1686,0,0,0.00738
repo_gamma,service,Java,2025-08-10,com.ocp.service.Class0033,253,1.9,7.78,3,1,0.0,23.28,1.85,0,0,2,6,20,16,0,14,0,0,68.01,48.11,64.76,0,,0,0,0.00288
repo_alpha,core,Java,2024-06-30,com.ocp.quality.core.Class0174,139,4.47,5.74,3,2,3.57,4.22,2.51,3,3,0,2,9,7,0,22,0,0,87.58,64.46,88.2,0,0.0692,0,0,0.01186
repo_alpha,core,Java,2024-05-14,com.ocp.transport.core.Class0056,89,2.2,3.06,5,1,2.2,1.0,0.0,0,1,1,5,4,1,0,79,0,1,71.27,62.75,43.81,0,0.0299,0,0,0.00618
repo_gamma,utils,Java,2025-09-25,com.ocp.utils.Class0042,198,5.42,10.34,4,0,3.77,5.08,0.29,2,0,2,8,10,5,0,135,1,2,,43.69,39.62,0,0.0759,0,0,0.01085
repo_gamma,data,Java,2025-04-11,com.ocp.platform.data.Class0091,195,4.36,1.26,1,1,0.89,1.0,4.64,3,1,1,10,14,17,1,0,0,0,,66.49,47.9,1,0.0088,0,0,0.01313
repo_gamma,api,Java,2024-02-03,com.ocp.transport.api.Class0181,96,8.5,1.19,4,0,0.0,1.0,2.36,2,1,1,0,2,0,1,1,0,1,76.03,56.53,81.0,0,0.0739,0,0,0.00816
repo_gamma,service,Java,2024-05-03,com.ocp.quality.service.Class0040,783,9.44,11.79,3,4,3.31,7.96,5.45,1,2,3,6,15,16,3,128,0,2,,63.91,49.12,5,0.2481,0,0,0.0175
repo_alpha,api,Kotlin,2024-11-14,com.ocp.platform.api.Class0021,463,7.75,11.85,1,0,4.56,16.76,0.83,1,0,4,10,68,49,3,24,0,1,63.47,58.87,53.29,1,0.0278,0,0,0.07563
repo_alpha,api,Java,2024-05-10,com.ocp.api.Class0048,146,2.46,1.0,3,0,2.59,1.0,0.0,1,0,0,1,11,3,1,118,0,2,58.49,59.69,60.08,1,0.1318,0,0,0.00785
repo_gamma,api,Java,2024-08-25,com.ocp.quality.api.Class0155,722,8.91,14.54,3,1,1.07,31.89,4.21,2,2,3,3,17,13,1,88,0,0,75.13,78.6,60.24,0,0.0118,0,0,0.0104
repo_gamma,core,Java,2024-05-02,com.ocp.transport.core.Class0011,80,3.2,1.95,1,0,0.0,14.29,0.0,2,2,0,0,1,2,0,12,0,2,74.69,,,3,0.2339,0,0,0.00858
repo_alpha,service,Java,2024-02-29,com.ocp.quality.service.Class0042,161,6.43,7.48,6,1,0.0,27.99,0.0,2,1,0,5,12,3,1,0,0,1,84.69,82.12,86.36,1,0.102,0,0,0.00642
repo_gamma,integration,Java,2024-12-10,com.ocp.integration.Class0157,227,5.48,5.59,5,1,2.13,17.22,2.38,0,0,0,3,11,8,0,32,0,0,73.15,61.57,63.07,2,0.086,0,0,0.02292
repo_gamma,data,Java,2025-03-14,com.ocp.quality.data.Class0067,197,4.0,1.0,5,4,4.15,6.9,0.0,0,0,1,3,5,6,0,106,0,1,69.35,71.1,51.21,1,0.0396,0,0,0.01425
repo_beta,data,Java,2024-06-15,com.ocp.platform.data.Class0185,389,7.15,2.42,1,1,2.19,17.03,1.5,2,1,4,2,14,15,1,124,0,0,80.93,,52.38,1,0.0141,0,0,0.00436
repo_alpha,api,Java,2024-07-07,com.ocp.transport.api.Class0191,517,6.94,4.11,2,1,2.97,18.13,2.75,3,0,2,6,25,30,1,94,3,2,60.36,,,1,0.0243,0,0,0.02038
repo_alpha,utils,Kotlin,2025-06-23,com.ocp.transport.utils.Class0093,367,7.9,7.31,2,0,0.0,16.79,2.43,1,2,3,1,8,4,0,80,0,0,73.71,78.41,49.44,2,0.1009,0,0,0.0102
repo_beta,data,Kotlin,2025-04-12,com.ocp.quality.data.Class0084,511,9.52,10.55,4,0,2.75,31.96,6.07,4,4,1,11,55,47,0,146,3,0,63.34,29.31,60.92,0,0.1027,0,0,0.00885
repo_alpha,service,Java,2024-10-26,com.ocp.quality.service.Class0187,777,8.15,7.53,4,3,0.85,28.3,5.12,1,1,3,4,23,16,0,90,1,0,52.31,41.85,23.26,4,,0,0,0.02551
repo_gamma,api,Java,2025-09-23,com.ocp.quality.api.Class0115,160,9.58,12.88,1,0,4.66,34.45,2.46,0,1,1,3,7,3,0,44,0,0,71.4,,43.66,0,,0,0,0.00898
repo_alpha,service,Java,2024-06-10,com.ocp.quality.service.Class0032,303,6.03,7.17,4,0,0.0,1.0,0.88,1,1,1,5,20,16,1,134,1,1,79.88,,69.47,0,0.0635,0,0,0.00801
repo_alpha,service,Java,2025-06-24,com.ocp.quality.service.Class0159,209,10.05,5.15,4,1,1.82,5.06,4.47,0,1,1,4,15,18,1,120,0,1,57.39,47.82,62.31,3,0.0557,0,0,0.02746
repo_gamma,core,Java,2024-06-22,com.ocp.quality.core.Class0160,203,4.98,1.0,5,1,1.0,7.97,0.57,2,1,0,4,12,12,1,122,1,1,72.68,60.56,53.65,0,0.0617,0,0,0.02069
repo_beta,utils,Java,2024-05-12,com.ocp.transport.utils.Class0011,152,3.53,3.65,5,1,2.29,4.07,0.92,1,0,0,5,17,19,0,86,2,3,,,42.91,1,0.047,0,0,0.02803
repo_alpha,core,Java,2025-04-09,com.ocp.core.Class0024,83,6.09,9.45,2,0,0.0,21.45,0.0,1,1,0,7,10,4,0,0,0,0,69.54,58.39,57.94,1,0.1187,0,0,0.00461
repo_beta,service,Java,2025-09-27,com.ocp.platform.service.Class0146,74,1.0,1.0,5,1,0.66,14.31,0.0,1,2,3,10,11,9,1,64,3,2,55.39,34.08,41.46,0,0.0338,0,0,0.01956
repo_gamma,core,Java,2024-08-16,com.ocp.quality.core.Class0177,45,3.65,10.39,1,0,3.6,18.31,0.0,0,1,1,1,0,2,0,58,0,1,,59.32,49.66,0,0.0393,0,0,0.01551
repo_gamma,utils,Java,2024-10-31,com.ocp.utils.Class0168,385,4.73,2.35,5,1,1.18,13.16,0.96,2,0,2,8,30,19,1,104,1,2,68.23,75.99,50.53,0,0.0905,0,0,0.01029
repo_beta,data,Kotlin,2024-07-23,com.ocp.transport.data.Class0116,245,5.86,6.76,1,0,0.0,1.32,0.0,0,3,0,5,19,14,2,5,1,1,72.94,72.97,34.58,1,0.2957,0,0,0.0158
repo_gamma,service,Java,2024-06-23,com.ocp.quality.service.Class0205,93,1.0,3.8,2,0,3.43,1.0,0.0,1,3,1,1,4,3,1,128,0,1,58.85,51.78,34.04,2,0.1961,0,0,0.02216
repo_gamma,data,Java,2025-03-01,com.ocp.platform.data.Class0091,172,1.0,1.0,5,1,1.13,1.6,0.37,1,1,1,8,21,14,3,74,0,0,56.28,44.99,28.38,2,0.035,0,0,0.02455
repo_gamma,api,Kotlin,2024-09-03,com.ocp.transport.api.Class0149,376,4.29,5.19,5,1,3.1,21.11,0.68,0,1,2,2,10,8,0,5,0,0,79.67,72.42,74.34,0,0.2044,0,0,0.00804
repo_gamma,service,Java,2024-09-20,com.ocp.transport.service.Class0012,206,8.08,10.75,2,0,0.0,9.75,2.12,1,0,3,14,32,19,3,0,1,0,60.8,,,3,0.0255,0,0,0.01422
repo_alpha,service,Java,2025-09-26,com.ocp.transport.service.Class0015,187,5.72,9.25,6,2,3.35,1.0,0.0,2,1,0,8,11,8,0,148,1,2,64.5,44.62,52.76,2,0.0092,0,0,0.06064
repo_alpha,data,Java,2024-03-18,com.ocp.transport.data.Class0204,303,6.43,7.28,6,1,3.03,3.03,2.07,2,1,1,5,14,5,4,90,1,0,82.51,,76.01,0,0.0175,0,0,0.00335
repo_alpha,core,Java,2025-10-20,com.ocp.transport.core.Class0056,88,3.29,5.04,3,2,2.08,1.17,0.0,0,2,2,3,4,4,0,90,1,2,65.95,55.81,32.92,0,0.1515,0,0,0.01098
repo_gamma,core,Java,2025-10-23,com.ocp.core.Class0166,463,8.25,14.91,2,1,1.03,10.83,3.37,5,0,2,3,18,12,0,48,0,2,72.78,75.71,,0,0.0407,0,0,0.01975
repo_gamma,api,Java,2025-08-02,com.ocp.quality.api.Class0136,192,1.34,6.94,3,0,0.0,4.0,1.97,0,0,3,1,8,6,0,112,0,1,67.53,42.78,38.75,0,0.138,0,0,0.02096
repo_alpha,utils,Java,2025-12-03,com.ocp.transport.utils.Class0001,99,4.12,2.96,2,0,2.25,19.81,0.0,0,1,0,2,2,6,0,5,0,0,79.94,82.89,72.78,1,0.0413,0,0,0.00804
repo_beta,integration,Java,2025-03-04,com.ocp.platform.integration.Class0066,164,4.29,7.34,2,0,0.0,1.0,0.0,1,1,3,2,6,9,0,56,0,1,44.24,43.61,41.58,1,0.0047,0,0,0.04086
repo_beta,core,Java,2024-12-12,com.ocp.platform.core.Class0220,707,12.07,5.73,3,0,4.53,10.9,3.88,2,3,2,5,50,51,0,56,3,1,60.73,40.28,31.49,3,0.0652,0,0,0.06695
repo_beta,utils,Java,2024-07-19,com.ocp.quality.utils.Class0132,56,3.67,3.66,3,1,3.09,23.05,1.2,3,1,2,1,1,3,0,153,0,0,70.82,78.87,64.76,1,0.037,0,0,0.01213
repo_alpha,core,Java,2024-10-09,com.ocp.platform.core.Class0181,317,5.7,11.41,1,0,0.0,17.84,4.95,1,0,0,10,55,38,1,0,3,3,73.59,,66.6,1,,0,0,0.03973
repo_gamma,core,Java,2025-05-14,com.ocp.core.Class0023,134,4.1,7.99,3,1,0.0,21.67,2.58,1,2,0,5,4,4,0,159,0,1,65.19,,44.79,0,0.0291,0,0,0.01071
repo_alpha,core,Java,2025-10-16,com.ocp.quality.core.Class0014,136,4.57,1.0,6,1,0.0,11.77,0.0,1,1,1,2,3,3,1,170,0,2,58.41,44.87,51.1,3,0.0834,0,0,0.01495
repo_gamma,integration,Java,2025-09-27,com.ocp.transport.integration.Class0193,554,8.14,8.84,2,0,0.41,4.96,1.23,0,0,2,3,18,22,0,160,0,0,,,,2,0.0906,0,0,0.02835
repo_gamma,utils,Kotlin,2024-05-03,com.ocp.quality.utils.Class0095,319,6.11,1.55,3,1,0.0,1.4,1.1,1,0,3,2,4,3,0,76,0,0,50.57,50.22,54.04,2,0.0199,0,0,0.0149
repo_beta,integration,Kotlin,2025-11-11,com.ocp.quality.integration.Class0166,171,1.0,6.8,6,2,2.84,1.0,0.87,1,0,0,13,18,13,3,132,1,0,66.25,,,0,0.0062,0,0,0.01081
repo_alpha,integration,Java,2025-10-30,com.ocp.quality.integration.Class0064,48,2.68,1.0,2,0,0.92,1.0,2.27,0,0,0,3,0,1,1,115,0,1,66.13,55.22,,0,0.0736,0,0,0.00427
repo_alpha,core,Java,2025-12-08,com.ocp.core.Class0086,35,1.0,2.96,5,3,0.0,13.81,3.78,2,0,0,3,1,2,0,119,0,0,80.66,,50.65,1,0.0049,0,0,0.00247
repo_alpha,utils,Java,2025-09-28,com.ocp.quality.utils.Class0096,453,4.4,1.47,6,1,0.0,1.0,3.89,3,1,2,5,46,49,1,68,1,2,77.84,67.46,75.28,1,0.0108,0,0,0.01192
repo_beta,utils,Java,2025-05-25,com.ocp.platform.utils.Class0106,46,1.0,10.94,1,2,0.0,11.13,0.5,2,0,2,3,2,0,2,63,1,2,77.3,60.93,75.51,0,0.061,0,0,0.00241
repo_beta,utils,Java,2024-06-11,com.ocp.transport.utils.Class0046,72,2.73,3.24,6,2,0.0,1.0,0.0,1,0,1,6,2,1,1,3,1,0,,73.42,85.8,0,0.0248,0,0,0.00475
repo_beta,service,Java,2025-06-15,com.ocp.platform.service.Class0173,334,7.27,5.04,1,0,0.0,20.27,1.1,0,1,1,10,21,20,2,33,2,2,61.59,48.12,,1,0.0477,0,0,0.03751
repo_beta,utils,Java,2025-08-18,com.ocp.platform.utils.Class0186,692,9.33,11.55,1,0,0.0,17.92,7.46,0,2,4,1,23,11,0,95,0,0,75.92,70.14,,2,0.1302,0,0,0.00578
repo_gamma,service,Java,2024-04-27,com.ocp.quality.service.Class0040,721,7.54,15.6,5,2,2.11,8.77,4.7,0,3,2,3,20,11,1,132,0,0,70.0,62.62,37.54,0,0.1055,0,0,0.02614
repo_alpha,data,Java,2024-06-26,com.ocp.data.Class0205,71,3.03,1.0,3,0,3.32,1.0,1.05,0,0,2,4,4,3,0,87,0,1,94.72,80.07,69.87,1,0.0939,0,0,0.00246
repo_beta,api,Java,2025-08-14,com.ocp.api.Class0126,585,9.27,15.1,1,0,2.62,22.76,5.25,1,1,4,8,29,35,2,94,1,1,67.39,61.42,63.24,2,0.0637,0,1,0.05304
repo_alpha,utils,Java,2025-03-27,com.ocp.quality.utils.Class0156,148,2.75,7.79,3,0,1.17,18.66,5.65,1,1,0,3,1,2,1,112,1,0,75.76,58.83,71.23,0,0.105,0,0,0.0048
repo_beta,service,Java,2024-08-15,com.ocp.service.Class0148,358,6.14,5.02,5,2,0.64,10.76,0.74,0,1,2,6,45,41,0,35,0,0,73.42,,67.11,1,,0,0,0.00868
repo_alpha,data,Java,2024-11-05,com.ocp.transport.data.Class0204,320,8.11,15.69,5,1,0.0,30.03,0.63,1,1,0,1,7,13,0,0,0,0,70.26,50.63,36.49,2,0.0184,0,0,0.00576
repo_gamma,data,Java,2025-10-30,com.ocp.quality.data.Class0198,571,9.03,4.62,1,1,0.0,2.78,5.63,0,1,1,1,12,7,0,70,1,0,64.05,65.53,50.97,0,0.0116,0,0,0.01389
repo_gamma,core,Java,2025-10-11,com.ocp.transport.core.Class0056,163,5.94,12.43,1,0,1.56,13.47,5.36,3,1,1,12,24,24,1,29,2,1,65.55,58.72,47.79,1,0.07,0,0,0.01744
repo_gamma,data,Java,2025-01-24,com.ocp.platform.data.Class0038,165,5.49,6.76,5,1,0.0,1.0,0.0,0,1,0,3,2,2,0,31,0,0,77.36,77.27,69.99,1,0.0137,0,0,0.00449
repo_gamma,data,Java,2025-01-04,com.ocp.platform.data.Class0054,408,6.65,6.86,6,1,0.0,7.22,3.9,1,1,1,11,48,54,1,82,3,2,68.17,66.53,,1,0.0952,0,0,0.02139
repo_alpha,core,Java,2024-05-27,com.ocp.quality.core.Class0025,98,1.0,1.46,2,0,1.2,1.0,4.3,0,0,0,6,6,2,3,57,2,1,86.57,74.78,58.08,0,0.0905,0,0,0.01059
repo_beta,integration,Kotlin,2025-11-14,com.ocp.quality.integration.Class0086,894,11.55,2.53,5,3,0.43,1.0,4.97,0,0,0,13,110,104,0,37,2,1,43.2,34.98,39.16,4,0.153,0,0,0.0776
repo_gamma,data,Java,2025-11-24,com.ocp.platform.data.Class0101,301,6.06,7.89,4,0,2.26,19.31,2.27,2,2,0,3,19,13,1,94,2,4,90.16,68.55,83.46,0,0.0374,0,0,0.00714
repo_beta,utils,Java,2025-09-28,com.ocp.transport.utils.Class0167,91,5.03,3.19,5,1,0.0,1.0,0.0,1,1,0,2,3,0,1,147,0,1,88.13,84.63,66.59,0,0.0984,0,0,0.01681
repo_alpha,core,Java,2025-08-21,com.ocp.platform.core.Class0206,426,4.75,1.91,5,3,0.0,4.13,0.85,3,2,3,7,41,27,4,61,4,3,86.71,63.14,61.13,0,0.0426,0,0,0.01248
repo_alpha,api,Java,2024-04-13,com.ocp.api.Class0170,76,3.71,5.03,3,0,1.5,4.85,2.35,0,1,0,1,1,2,0,107,0,0,78.49,62.65,81.76,0,0.0145,0,0,0.00176
repo_gamma,utils,Java,2025-08-08,com.ocp.utils.Class0168,379,4.22,1.3,3,1,0.0,1.0,5.82,0,0,0,5,35,24,1,30,1,2,59.2,57.4,22.43,3,0.1061,0,0,0.01308
